FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
0.0001    -0.971802    0.00326541    -0.81522    0.00126236    0.000615234    0.00100394    0.00876603
0.322677    -0.966662    0.00315027    -0.815146    0.00125148    0.000880127    0.000935738    0.00914558
0.645255    -0.961351    0.00272851    -0.814817    0.00129742    0.000611572    0.000878269    0.00956235
0.967832    -0.955555    0.00356473    -0.814244    0.00146747    0.000759277    0.00119705    0.0100013
1.29041    -0.948582    0.00331058    -0.813581    0.00139111    0.00092041    0.00129278    0.0104465
1.61299    -0.944965    0.00347779    -0.813775    0.00143051    0.000849609    0.00110585    0.0109155
1.93556    -0.936348    0.00391127    -0.811645    0.00177579    0.00117798    0.00130388    0.0114321
2.25814    -0.928976    0.00427421    -0.810433    0.0020589    0.000982666    0.00133204    0.0119625
2.58072    -0.92274    0.00375953    -0.808997    0.00180033    0.00136963    0.0013294    0.0125078
2.9033    -0.915954    0.00382269    -0.807989    0.00208749    0.00140625    0.00170475    0.0131165
3.22587    -0.903426    0.00430258    -0.800379    0.00292599    3.66211e-06    0.00169055    0.0137997
3.54845    -0.888173    0.00542761    -0.789151    0.00422981    -0.00557739    0.0018898    0.014475
3.87103    -0.770917    0.048041    -0.604389    0.077967    -0.0936292    0.0297138    0.0149964
4.19361    -0.454705    0.004469    -0.0687664    0.00291347    -0.0568164    0.0019562    0.0131628
4.51618    -0.357575    0.0241091    0.0885617    0.0373583    -0.0311584    0.0193935    0.013209
4.83876    -0.193305    0.0140862    0.238239    0.00119749    -0.0757153    0.0122064    0.0124182
5.16134    -0.140012    0.00456993    0.239074    0.001472    -0.121172    0.00221022    0.0123483
5.48392    -0.00658866    0.00528705    0.34001    0.00114551    -0.116807    0.00346608    0.0118657
5.80649    0.132424    0.0404717    0.386773    0.0398051    -0.192687    0.0111019    0.0113142
6.12907    0.185885    0.00397121    0.33476    0.001818    -0.180808    0.00170937    0.0109073
6.45165    0.38779    0.021635    0.210785    0.0348075    -0.00866699    0.0168096    0.00971856
6.77423    0.549054    0.0130271    0.0208584    0.00228307    0.0547729    0.0152004    0.00832731
7.0968    0.616268    0.00361809    -0.033914    0.00259931    0.00195068    0.00204824    0.00788834
7.41938    0.684111    0.00465063    -0.143853    0.00475363    -0.060752    0.00246    0.00736856
7.74196    0.927518    0.0211868    -0.521488    0.0377731    -0.0472363    0.022075    0.00479972
8.06454    1.03328    0.0015672    -0.701897    0.00077806    -0.0608997    0.000667189    0.00354334
8.38711    1.0386    0.00192739    -0.701226    0.000804446    -0.0607739    0.000646747    0.00346281
8.70969    1.10384    0.0013618    -0.803204    0.000616026    -0.000158691    0.000496453    0.00257824
9.03227    1.10902    0.00139629    -0.80233    0.000578375    -0.000206299    0.000393265    0.00246777
9.35485    1.11459    0.00155663    -0.80127    0.000598948    -0.000106201    0.000394196    0.00235945
9.67742    1.11968    0.00114761    -0.800349    0.000520641    -9.64355e-05    0.000385845    0.00225407
10    1.12509    0.00127607    -0.799167    0.000498938    -0.000137939    0.000426689    0.00216275
