FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
0.0001    0.00107808    0.00722367    0.813075    0.00293814    0.98482    0.00220626    0.010134
0.127083    0.00507207    0.0064689    0.813131    0.00273029    0.98475    0.00221585    0.0101596
0.254065    0.00636889    0.00670045    0.812843    0.00287848    0.984555    0.00229526    0.0101692
0.381048    0.00972299    0.0070589    0.81241    0.00299686    0.984285    0.0023356    0.0101861
0.50803    0.0129775    0.00569332    0.811456    0.00284141    0.983655    0.00243664    0.0102101
0.635013    0.0143836    0.00534662    0.812112    0.00264128    0.98402    0.00218509    0.0102344
0.761995    0.015898    0.00690954    0.811653    0.00266081    0.983475    0.00220298    0.0102491
0.888978    0.0185418    0.00600734    0.810777    0.00234605    0.9832    0.00198116    0.0102667
1.01596    0.0234104    0.00664475    0.810857    0.00287305    0.98306    0.00233964    0.0103068
1.14294    0.0229732    0.0082799    0.811342    0.00308465    0.98342    0.0024907    0.0103418
1.26993    0.0260542    0.00653317    0.811008    0.00264721    0.98328    0.00222578    0.0103692
1.39691    0.0270761    0.00557355    0.810713    0.00288168    0.98303    0.00207041    0.0104074
1.52389    0.0311618    0.00659923    0.810421    0.00258927    0.982525    0.00216982    0.0104557
1.65087    0.0331207    0.00680866    0.810559    0.00220922    0.982735    0.00188176    0.0104975
1.77786    0.0382892    0.00670224    0.809461    0.00247545    0.98196    0.00217736    0.0105286
1.90484    0.0398079    0.00776442    0.809647    0.00301467    0.981975    0.00251508    0.0105836
2.03182    0.0410748    0.00854869    0.809395    0.00305674    0.981875    0.00246994    0.0106354
2.1588    0.0441435    0.00760636    0.808037    0.00221836    0.980795    0.00167458    0.0106888
2.28579    0.0463611    0.00658465    0.808151    0.00345459    0.98076    0.0026758    0.0107492
2.41277    0.0495662    0.00663297    0.807552    0.00387284    0.980385    0.00286889    0.0108207
2.53975    0.0527195    0.00681847    0.807413    0.00321089    0.98021    0.0025492    0.0108643
2.66673    0.0561319    0.00810987    0.806229    0.00367209    0.979255    0.00275522    0.010932
2.79372    0.0578631    0.00812095    0.805869    0.00394752    0.97888    0.00326084    0.0110042
2.9207    0.0609915    0.00713387    0.805823    0.00354778    0.978925    0.00279609    0.0110645
3.04768    0.0632984    0.00752514    0.804751    0.00379036    0.97824    0.00270784    0.0111494
3.17466    0.0662866    0.00781908    0.804914    0.00376351    0.97804    0.00280996    0.0112194
3.30165    0.0718958    0.00793285    0.803637    0.00376636    0.977065    0.00318936    0.0113204
3.42863    0.0733723    0.00651023    0.80267    0.00347931    0.976475    0.00271259    0.0113975
3.55561    0.0779381    0.00773788    0.803208    0.00360951    0.97658    0.00306286    0.0114896
3.68259    0.0772993    0.00810543    0.802532    0.00342243    0.976415    0.00257809    0.0115743
3.80958    0.0827526    0.00846256    0.801683    0.00366207    0.975615    0.00309645    0.0116667
3.93656    0.0859191    0.00955524    0.800081    0.00484184    0.974505    0.00360537    0.0117865
4.06354    0.0901655    0.00726312    0.800537    0.00382494    0.97444    0.00297849    0.0118644
4.19052    0.0915673    0.00721888    0.799447    0.00471267    0.97399    0.00330491    0.0120064
4.31751    0.106555    0.0228227    0.781322    0.0378288    0.962975    0.0215894    0.0121893
4.44449    0.197655    0.00823294    0.625718    0.00455543    0.874235    0.00342542    0.0115739
4.57147    0.30531    0.00825289    0.457792    0.00492168    0.776465    0.00391568    0.0109475
4.69845    0.325847    0.0364447    0.444484    0.0262047    0.761565    0.0309859    0.0109365
4.82544    0.419836    0.00840222    0.375937    0.00398608    0.68025    0.00294703    0.00999048
4.95242    0.421408    0.00777162    0.375482    0.00478716    0.679535    0.00324423    0.0100333
5.0794    0.426729    0.00819585    0.374139    0.00553396    0.67847    0.00407665    0.0101129
5.20638    0.428833    0.00836843    0.37449    0.00633308    0.678875    0.00418606    0.0101558
5.33337    0.43372    0.0106678    0.37094    0.00704283    0.67663    0.00471467    0.010258
5.46035    0.521151    0.0195704    0.217102    0.0414043    0.587835    0.0234414    0.00967114
5.58733    0.529692    0.00928744    0.201799    0.00648537    0.57943    0.0041863    0.00955796
5.71431    0.53248    0.00896977    0.200912    0.00744027    0.57846    0.00459629    0.00960115
5.8413    0.539868    0.0109777    0.197334    0.0096057    0.576355    0.00604506    0.00966067
5.96828    0.542192    0.00953107    0.197298    0.0111583    0.576105    0.00671176    0.00970027
6.09526    0.726606    0.00609851    -0.132702    0.00559617    0.38579    0.0038789    0.00775738
6.22224    0.729474    0.00619409    -0.133594    0.00513999    0.385055    0.00352679    0.00776148
6.34923    0.815408    0.0150469    -0.28583    0.0254113    0.296905    0.0148024    0.00679476
6.47621    0.822353    0.00574124    -0.292345    0.00436974    0.29319    0.00276521    0.00672527
6.60319    0.844865    0.0383428    -0.334301    0.0729239    0.268905    0.0415228    0.00651229
6.73017    0.914381    0.00565522    -0.462431    0.00351428    0.195745    0.00246348    0.00589383
6.85716    0.92749    0.0105671    -0.47985    0.0148618    0.185515    0.00889669    0.00598704
6.98414    1.00515    0.0054305    -0.634327    0.00274819    0.09744    0.00185173    0.0050342
7.11112    1.00692    0.00453622    -0.633754    0.00271129    0.09768    0.00207849    0.00497908
7.2381    1.00924    0.00425228    -0.633449    0.00280776    0.09763    0.00190541    0.00492935
7.36509    1.01231    0.0043525    -0.634084    0.00264943    0.097175    0.00173799    0.00489374
7.49207    1.01362    0.00435759    -0.633393    0.00253398    0.097615    0.00171916    0.00483424
7.61905    1.01704    0.00352732    -0.633972    0.00265137    0.096775    0.00196166    0.00479311
7.74603    1.01804    0.00444666    -0.633243    0.00311465    0.09719    0.00236091    0.00474314
7.87302    1.02109    0.00446022    -0.632982    0.00333843    0.097305    0.0020696    0.00469676
8    1.02326    0.00484364    -0.6327    0.00311877    0.096745    0.00221669    0.00465634
