FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.31011    0.00602964    -0.721146    0.00402975    0.00131    0.00264318    0.0191472
-6    -1.24998    0.0051561    -0.725832    0.00374952    0.001325    0.00348219    0.0226056
-4    -1.18652    0.00782703    -0.728562    0.00443575    0.001845    0.00361694    0.026998
-2    -1.12576    0.0101983    -0.728132    0.00745535    0.003865    0.00488549    0.0326808
0.0001    -1.04465    0.013964    -0.713168    0.0121233    0.00358    0.0078969    0.0400637
0.296393    -0.990126    0.0551189    -0.651642    0.0759591    0.008125    0.0287542    0.0417913
0.592685    -0.573598    0.0163205    -0.0971951    0.0167201    -0.001895    0.0121947    0.0407015
0.888978    -0.347525    0.0994957    0.191519    0.146847    -0.04703    0.0430168    0.0411331
1.18527    -0.236536    0.0166724    0.340622    0.00722591    -0.09025    0.00871823    0.039802
1.48156    -0.110898    0.0154604    0.475603    0.0109865    -0.17492    0.0109829    0.0399179
1.77786    0.0948757    0.0166716    0.489215    0.0135758    -0.179825    0.0127729    0.0386449
2.07415    0.215042    0.013822    0.415447    0.0102486    -0.279005    0.00851256    0.0380034
2.37044    0.433011    0.0183603    0.10398    0.0160925    -0.46536    0.0121012    0.0369867
2.66673    0.746303    0.0144184    -0.127816    0.0145863    -0.371485    0.00923626    0.0341896
2.96303    0.994081    0.0398514    -0.482449    0.0600319    -0.153785    0.0366814    0.0315349
3.25932    1.06494    0.00880131    -0.578017    0.00523495    -0.09658    0.00417296    0.0298531
3.55561    1.17492    0.00926109    -0.729069    0.00477492    -0.00242    0.00418672    0.0281283
3.8519    1.18425    0.00870166    -0.728974    0.00493071    -0.00126    0.00340035    0.0273926
4.1482    1.19106    0.00685298    -0.728093    0.00475074    -0.002335    0.00424194    0.0266642
4.44449    1.20153    0.00664544    -0.728407    0.00415275    -0.002285    0.00378187    0.0259269
4.74078    1.21282    0.007236    -0.729372    0.00477342    -0.001595    0.00331432    0.0252424
5.03707    1.2209    0.0074502    -0.728976    0.00456301    -0.001585    0.0032131    0.0245679
5.33337    1.22906    0.00627157    -0.728572    0.00407264    -0.001935    0.00319054    0.0239263
5.62966    1.23757    0.00722523    -0.726478    0.00511079    -0.00196    0.00305956    0.0233309
5.92595    1.24679    0.00748467    -0.726804    0.00425429    -0.000555    0.00262121    0.0227488
6.22224    1.25705    0.00691098    -0.726714    0.00397855    -0.002005    0.00285547    0.0221134
6.51854    1.26618    0.00587784    -0.725786    0.00366294    -0.00165    0.00318002    0.0216227
6.81483    1.2751    0.00611093    -0.725467    0.0035516    -0.00165    0.00318355    0.021078
7.11112    1.28313    0.00675465    -0.724247    0.00468555    -0.001775    0.00327233    0.0205402
7.40741    1.29272    0.00645662    -0.723398    0.00442312    -0.00199    0.0030757    0.0200896
7.70371    1.30163    0.00612184    -0.723369    0.00348689    -0.001975    0.0028593    0.0196082
8    1.31122    0.00577759    -0.721768    0.00349532    -0.00128    0.00252024    0.0191349
