FIELD    MAGNETIZATION    MAGNETIZATIONstd    POLARIZATION    POLARIZATIONstd    LB2    LB2std    Accept rate    
-8    -1.10756    0.0031357    -0.800623    0.0014884    -4.5e-05    0.000924243    0.00365306
-6    -1.07385    0.00373554    -0.805783    0.00154639    -0.00015    0.00132665    0.00478393
-4    -1.04044    0.00445635    -0.808786    0.00160826    -0.000125    0.00157738    0.00626542
-2    -1.00727    0.00510913    -0.810494    0.00180975    -0.00041    0.00177536    0.00816885
0.0001    -0.971748    0.00491527    -0.810328    0.00249355    0.000305    0.00252997    0.010571
0.135692    -0.969915    0.0065456    -0.809952    0.00267059    -0.000205    0.00247825    0.0107768
0.271283    -0.967372    0.00665083    -0.80984    0.00291906    -0.000555    0.00217215    0.010946
0.406875    -0.96584    0.00618353    -0.809959    0.00278786    -0.0002    0.00243824    0.0111317
0.542466    -0.962717    0.00746253    -0.80938    0.00354292    -0.00068    0.00260194    0.0113788
0.678058    -0.958499    0.00728298    -0.808204    0.00322967    -0.00047    0.00276931    0.0115679
0.813649    -0.95584    0.0093273    -0.807847    0.00606872    -0.001375    0.00326353    0.0117952
0.949241    -0.954126    0.00839602    -0.808396    0.00368717    -0.000445    0.00287154    0.0119866
1.08483    -0.95098    0.00823213    -0.807995    0.00427357    0.00023    0.00314716    0.0121949
1.22042    -0.946356    0.00882134    -0.806357    0.00452026    4.5e-05    0.00312718    0.0124442
1.35602    -0.943155    0.00822305    -0.805721    0.0050366    -8e-05    0.0041299    0.0126604
1.49161    -0.937833    0.0096096    -0.801777    0.00796612    -0.002965    0.0053493    0.0129757
1.6272    -0.9366    0.0102792    -0.804414    0.0058116    -0.00084    0.00381109    0.0131452
1.76279    -0.929854    0.0110008    -0.798082    0.00928818    -0.00363    0.00599546    0.0134957
1.89838    -0.927009    0.0110645    -0.800543    0.00755292    -0.001065    0.00450245    0.0136823
2.03397    -0.926675    0.00913157    -0.801894    0.00480185    6e-05    0.00500264    0.0139162
2.16956    -0.920163    0.00849318    -0.799272    0.00513016    0.001365    0.00476293    0.0142125
2.30516    -0.911535    0.014767    -0.790808    0.014679    0.00149    0.00539235    0.0145815
2.44075    -0.858178    0.0289731    -0.719724    0.0530686    0.029145    0.0411329    0.0152112
2.57634    -0.816674    0.012328    -0.629753    0.00678798    0.09339    0.00644926    0.0146934
2.71193    -0.804848    0.00918406    -0.618274    0.00530282    0.110525    0.00529109    0.0150521
2.84752    -0.729804    0.0541217    -0.513213    0.0790872    0.048305    0.0501896    0.015095
2.98311    -0.688472    0.0108516    -0.45121    0.00690251    0.010645    0.00615591    0.0149666
3.11871    -0.676832    0.0139998    -0.439943    0.0141184    0.007615    0.0111161    0.015363
3.2543    -0.579657    0.0145027    -0.277304    0.00729114    -0.08933    0.00673469    0.0150436
3.38989    -0.484162    0.00919205    -0.111222    0.00675549    0.011605    0.00587113    0.0146019
3.52548    -0.475709    0.0131352    -0.104819    0.00853241    0.011385    0.00518633    0.014877
3.66107    -0.372045    0.0141005    0.0489521    0.00535927    -0.09656    0.00687342    0.0146308
3.79666    -0.37106    0.0111522    0.0499539    0.00650375    -0.08605    0.00651959    0.0146961
3.93225    -0.352844    0.0155288    0.0479948    0.00805658    -0.097245    0.00820175    0.0151122
4.06785    -0.351258    0.0129181    0.0453202    0.0077417    -0.099985    0.0114213    0.0153465
4.20344    -0.0896125    0.0116344    0.366505    0.00855242    -0.394095    0.0063606    0.0130891
4.33903    0.0623401    0.0444747    0.492692    0.0374924    -0.34331    0.0462128    0.0122627
4.47462    0.210892    0.00942047    0.286986    0.00538283    -0.48395    0.00404197    0.0112255
4.61021    0.217168    0.0114979    0.285749    0.00766677    -0.48265    0.00712934    0.0113539
4.7458    0.228708    0.00860886    0.277221    0.00536457    -0.4729    0.00480208    0.0115923
4.88139    0.327859    0.00941968    0.116961    0.00342738    -0.3908    0.00531695    0.0110778
5.01699    0.410274    0.00817474    0.114895    0.00428824    -0.4788    0.00436005    0.0102013
5.15258    0.417016    0.00940132    0.113037    0.00428157    -0.479055    0.00451284    0.0103251
5.28817    0.4172    0.00813291    0.114017    0.00386325    -0.478325    0.00465947    0.0103668
5.42376    0.418935    0.0080548    0.111878    0.00614932    -0.47555    0.0056542    0.0104191
5.55935    0.59794    0.0227712    -0.119337    0.0394136    -0.30175    0.0238297    0.00882381
5.69494    0.606198    0.00803332    -0.131198    0.00309297    -0.295295    0.00442032    0.00874675
5.83054    0.788557    0.0050201    -0.30113    0.00264943    -0.292575    0.00211084    0.00730819
5.96613    0.838793    0.0387996    -0.395063    0.0787142    -0.238585    0.0446397    0.00708463
6.10172    0.880443    0.00622418    -0.474932    0.00379793    -0.192925    0.00261402    0.00671028
6.23731    0.881368    0.00657106    -0.474485    0.00410827    -0.19316    0.00297857    0.00670374
6.3729    0.885929    0.00522895    -0.475135    0.00362619    -0.19226    0.00264762    0.00668059
6.50849    0.888687    0.00603485    -0.475202    0.00362973    -0.19211    0.00267075    0.00663929
6.64408    0.998329    0.0798637    -0.6553    0.135771    -0.08682    0.0791836    0.00546917
6.77968    1.08664    0.00361441    -0.803775    0.00170639    9e-05    0.000969226    0.0043009
6.91527    1.08864    0.00382027    -0.803294    0.00157991    1e-05    0.001336    0.00421751
7.05086    1.09164    0.00324041    -0.803161    0.00144815    0.00019    0.00117427    0.00414664
7.18645    1.09393    0.00326289    -0.802395    0.00142301    -6.5e-05    0.0011234    0.00406812
7.32204    1.09577    0.00349361    -0.8025    0.00145759    -5e-06    0.000981695    0.00400197
7.45763    1.09862    0.00314385    -0.802144    0.00150721    -0.000395    0.00119592    0.00392812
7.59323    1.1008    0.00256053    -0.801741    0.00129553    0.000125    0.00127794    0.00384991
7.72882    1.10318    0.0029091    -0.801212    0.00135753    -0.00033    0.00107986    0.00378572
7.86441    1.1046    0.00335977    -0.801016    0.00132171    -3e-05    0.00113759    0.00371586
8    1.10735    0.00284448    -0.800642    0.0012698    5e-06    0.00100932    0.00365458
